SKU;ID Tiny;Estoque
8.25.01.03.01;812028902;10
8.06.04.10.10;811379656;0
24.25.49.02.10;809693750;0
8.04.01.14.01;811364339;3
8.25.02.04.06;909752837;0
8.24.53.30.07;811860385;0
8.06.04.06.10;811385247;0
8.06.04.09.06;811385469;0
8.25.53.89.07;811856494;0
8.12.01.18.06;811858962;0
8.25.53.16.00;811850362;0
8.07.04.49.01;809546485;0
8.13.53.01.11;812013033;0
8.25.81.01.00;812028013;11
8.24.91.03.00;809541203;0
8.24.91.05.00;809541190;1
8.04.04.12.06;811851348;0
8.30.53.68.00;809545610;0
8.24.91.04.00;809541221;0
8.25.83.01.00;811370166;0
8.07.03.15.10;809129348;2
8.24.53.26.00;811367399;0
8.24.53.47.17;811852653;0
8.24.91.02.00;809541164;0
8.30.53.14.18;811915985;0
8.07.01.32.01;811815558;2
8.07.02.01.01;811815423;1
8.09.03.108.07;811846041;0
8.25.53.32.114;811850205;0
8.30.33.17.00;811373364;0
8.09.01.86.10;812029479;2
8.24.57.25.00;811831765;0
8.25.53.57.07;811856407;0
8.25.57.181.18;811912834;0
8.30.53.04.07;811935558;0
8.30.53.17.69;811372905;0
8.03.71.10.00;809542332;0
8.12.01.04.06;812028858;0
8.24.53.22.00;811367564;0
8.25.53.22.00;811850343;0
8.03.01.10.10;909753338;0
8.03.71.19.07;809541327;0
8.07.76.03.01;811814517;0
8.09.04.109.57;811845300;2
8.24.53.48.11;811852688;0
8.25.53.25.00;812004679;0
8.25.53.54.00;811856437;0
8.25.85.01.00;811851418;0
8.30.53.21.00;812012786;0
8.01.01.13.10;809551226;0
8.03.71.20.18;809541412;0
8.07.76.02.10;811814511;0
8.09.04.120.10;811845145;2
8.25.53.28.114;811850128;0
8.25.70.11.10;811914842;0
8.25.74.09.00;812031584;0
8.25.94.01.69;811928549;0
8.30.04.01.57;811848251;0
8.30.33.20.00;811375339;0
8.03.71.05.00;809542274;0
8.07.23.16.10;811814877;1
8.24.53.02.00;811371257;0
8.24.53.18.18;811923864;0
8.24.53.67.11;811854389;0
8.25.01.18.06;811864707;0
8.30.53.15.07;811915791;0
8.30.53.72.69;812028677;0
8.30.53.77.69;811373150;0
8.01.71.19.07;809552359;0
8.03.71.03.18;809542568;0
8.03.71.08.00;809542514;0
8.04.04.13.06;811851367;0
8.06.04.12.10;811377442;1
8.06.54.01.01;811382881;0
8.07.04.39.10;811818085;0
8.08.04.01.01;811819447;0
8.09.01.04.10;811833149;0
8.09.24.01.01;909320017;3
8.09.39.18.01;811838273;0
8.12.01.15.01;812007403;0
8.13.53.02.69;812012975;0
8.13.98.09.69;812027464;0
8.25.02.36.06;812032702;0
8.25.53.21.00;811850370;0
8.25.53.29.114;811850396;0
8.25.53.31.95;811850235;1
8.30.33.49.69;811818325;0
8.30.53.01.18;812006550;0
8.30.53.75.69;811373236;0
8.03.71.02.07;809542251;0
8.03.71.09.00;809542345;0
8.03.71.17.00;809541348;0
8.04.04.14.06;811851396;0
8.07.76.08.01;811817766;0
8.09.02.14.10;909753178;0
8.09.03.04.01;909753077;0
8.09.03.05.18;909753087;0
8.09.76.44.10;811836396;1
8.12.01.14.01;812009876;0
8.13.98.10.69;812012721;0
8.24.53.25.00;811367368;0
8.24.53.37.00;811853103;0
8.24.53.40.00;811854260;0
8.24.53.56.07;811853999;0
8.24.53.66.16;811853095;0
8.24.57.11.18;811910268;0
8.25.02.38.06;811916130;0
8.25.101.01.16;811859347;2
8.25.101.03.07;811859366;1
8.25.106.04.07;811924607;0
