Almoxarifado;Custo Líquido Atualizado;Custo Bruto Atualizado;SKU;Nome;Operação
FATURAMENTO VD RJ;254.25;354.55;19.37.44.03.01;Cadeira de Escritório Giratória Willet Cosco Home - Preta;VITRINE
FATURAMENTO VD RJ;177.69;247.8;19.37.44.11.06;Mesa de Escritório Smart Desk White - Cosco Home;VITRINE
FATURAMENTO VD RJ;177.69;247.8;19.37.44.11.06;Mesa de Escritório Smart Desk White Cosco Home;VITRINE
FATURAMENTO VD ES;163.81;187.92;21.14.175.11.01;Cadeira Giratoria Mocho Manicure Com Encosto Branca;VITRINE
FATURAMENTO VD ES;132.3;151.78;21.14.175.14.01;Cadeira Giratória Escritório Arco Preta;VITRINE
FATURAMENTO VD ES;156.61;179.66;21.14.175.15.06;Cadeira Giratória Escritório Arco Branca;VITRINE
FATURAMENTO VD ES;251.11;288.07;21.14.175.18.01;Cadeira De Escritório Malha Com Encosto;VITRINE
FATURAMENTO VD ES;476.1;546.19;21.14.175.20.01;Cadeira Xtreme Gamers Cinesis Ny Preta E Vermelha;VITRINE
FATURAMENTO VD ES;476.1;546.19;21.14.175.21.01;Cadeira Xtreme Gamers Cinesis Ny Preta;VITRINE
FATURAMENTO VD ES;269.11;308.72;21.14.175.23.01;Cadeira Giratoria Office Executive Em Malha Preta;VITRINE
FATURAMENTO VD ES;61.2;70.21;21.14.175.30.57;Cadeira Eiffel Nude;VITRINE
FATURAMENTO VD ES;85.5;98.09;21.14.175.34.06;Cadeira Saarinen Wood Branca;VITRINE
FATURAMENTO VD ES;170.99;196.17;21.14.175.35.06;Kit 2 Cadeiras Eames Leda Branca;VITRINE
FATURAMENTO VD ES;85.5;98.09;21.14.175.37.57;Cadeira Saarinen Wood Nude;VITRINE
FATURAMENTO VD ES;170.99;196.17;21.14.175.38.57;Kit 2 Cadeiras Eames Leda Nude;VITRINE
FATURAMENTO VD ES;170.1;195.14;21.14.175.45.01;Cadeira Eiffel Office Slim Preta;VITRINE
FATURAMENTO VD ES;179.11;205.47;21.14.175.52.06;Cadeira Giratoria Office Zebrada Branca;VITRINE
FATURAMENTO VD ES;51.32;60.92;21.14.175.53.01;Cadeira Allegra Preta;VITRINE
FATURAMENTO VD ES;35.11;40.27;21.14.175.56.00;Carrinho Multiuso Affresco 4 Prateleiras Fumê;VITRINE
FATURAMENTO VD ES;35.1;40.27;21.14.175.57.00;Carrinho Multiuso Affresco 4 Prateleiras Transparente;VITRINE
FATURAMENTO VD RJ;79.88;91.27;21.14.46.03.07;Cadeira Allegra Azul;VITRINE
FATURAMENTO VD RJ;129.23;147.65;21.14.46.1201.06;Cadeira Folha Abs Branca Base Cromada;VITRINE
FATURAMENTO VD RJ;129.23;147.65;21.14.46.1202.01;Cadeira Folha Abs Preta Base Cromada;VITRINE
FATURAMENTO VD ES;108.44;123.9;21.14.46.158.00;Cadeira Eames Transparente Policarbonato;VITRINE
FATURAMENTO VD RJ;79.07;90.34;21.14.46.158.00;Cadeira Eames Transparente Policarbonato;VITRINE
FATURAMENTO VD RJ;453.21;517.8;21.14.46.185.01;Cadeira Gamer Elite Preta;VITRINE
FATURAMENTO VD RJ;347.92;397.51;21.14.46.192.10;Cadeira Gamer Star Cinza;VITRINE
FATURAMENTO VD RJ;186.61;213.21;21.14.46.209.00;Cadeira Ghost Transparente;VITRINE
FATURAMENTO VD RJ;145.49;166.23;21.14.46.273.01;Cadeira Secretária Giratória Flex Preta;VITRINE
FATURAMENTO VD RJ;291.04;332.52;21.14.46.289.06;Cadeira X Paris Branca;VITRINE
FATURAMENTO VD RJ;130.59;149.2;21.14.46.299.00;Poltrona Acapulco Verde Tiffany;VITRINE
FATURAMENTO VD RJ;130.58;149.2;21.14.46.300.08;Cadeira Acapulco Cordas Em Pvc Vermelha;VITRINE
FATURAMENTO VD RJ;120.19;137.32;21.14.46.32.06;Cadeira Bertoia Cromada Com Almofada Branco;VITRINE
FATURAMENTO VD ES;154.98;177.07;21.14.46.320.01;Cadeira Viena Alta Preta;VITRINE
FATURAMENTO VD RJ;154.98;177.07;21.14.46.320.01;Cadeira Viena Alta Preta;VITRINE
FATURAMENTO VD RJ;63.26;72.28;21.14.46.328.01;Cadeira Concha Eames Or Design Preto;VITRINE
FATURAMENTO VD RJ;112.92;129.01;21.14.46.343.01;Cadeira Aço Pintura Epoxi Preta Assento Madeira;VITRINE
FATURAMENTO VD RJ;373.23;426.42;21.14.46.396.12;Cadeira Esteirinha Alta Pu Creme Base Rodízio;VITRINE
FATURAMENTO VD RJ;354.25;404.74;21.14.46.398.12;Cadeira Esteirinha Baixa Pu Creme Base Rodízio;VITRINE
FATURAMENTO VD RJ;347.92;397.51;21.14.46.399.01;Cadeira Esteirinha Baixa PU Preta Base Rodízio Sem Braco;VITRINE
FATURAMENTO VD ES;148.66;169.85;21.14.46.422.06;Cadeira Tok Baixa Branca Base Cromada Rodízio;VITRINE
FATURAMENTO VD RJ;259.64;296.64;21.14.46.431.06;Cadeira Gamer Raptor Branco Base Rodízio;VITRINE
FATURAMENTO VD RJ;306.8;350.54;21.14.46.69.01;Cadeira Diretor Mesh Preta;VITRINE
FATURAMENTO VD RJ;63.26;72.28;21.14.46.97.06;Cadeira Eames Branca;VITRINE
FATURAMENTO VD ES;67.49;79.5;21.14.50.07.00;Cadeira Eames  Azul Bic;VITRINE
FATURAMENTO VD RJ;36.67;43.2;21.14.50.07.00;Cadeira Eames  Azul Bic;VITRINE
FATURAMENTO VD ES;134.98;159.0;21.14.50.08.00;Conjunto 2 Cadeiras Eames  Azul Bic;VITRINE
FATURAMENTO VD ES;269.96;318.0;21.14.50.09.00;Conjunto 4 Cadeiras Eames  Azul Bic;VITRINE
FATURAMENTO VD ES;119.2;140.42;21.14.50.100.00;Cadeira Saarinen  Branco;VITRINE
FATURAMENTO VD ES;57.22;67.41;21.14.50.1013.00;Cadeira Web Preta  Base Em Polipropileno;VITRINE
FATURAMENTO VD ES;107.51;126.65;21.14.50.1014.00;Conjunto Com 2 Cadeiras Web Preta  Base Em Polipropileno;VITRINE
FATURAMENTO VD ES;228.88;269.64;21.14.50.1015.00;Conjunto Com 4 Cadeiras Web Preta  Base Em Polipropileno;VITRINE
FATURAMENTO VD ES;50.74;59.77;21.14.50.1048.00;Cadeira Windsor Branca  Base Em Madeira;VITRINE
FATURAMENTO VD ES;164.73;194.05;21.14.50.1049.00;Conjunto Com 2 Cadeiras Windsor Branca  Base Em Madeira;VITRINE
FATURAMENTO VD RJ;117.25;133.24;21.14.50.1051.00;Conjunto Com 2 Cadeiras Windsor Cinza Base Em Madeira;VITRINE
FATURAMENTO VD ES;101.48;119.55;21.14.50.1051.00;Conjunto Com 2 Cadeiras Windsor Cinza Base Em Madeira;VITRINE
FATURAMENTO VD ES;90.93;107.12;21.14.50.1052.00;Cadeira Windsor Fendi  Base Em Madeira;VITRINE
FATURAMENTO VD ES;185.81;218.89;21.14.50.1053.00;Conjunto Com 2 Cadeiras Windsor Fendi  Base Em Madeira;VITRINE
FATURAMENTO VD ES;82.36;97.02;21.14.50.1054.00;Cadeira Windsor Preta  Base Em Madeira;VITRINE
FATURAMENTO VD ES;164.73;194.05;21.14.50.1055.00;Conjunto Com 2 Cadeiras Windsor Preta  Base Em Madeira;VITRINE
FATURAMENTO VD ES;50.74;58.73;21.14.50.1056.00;Cadeira Windsor Rosa  Base Em Madeira;VITRINE
FATURAMENTO VD RJ;50.74;59.77;21.14.50.1056.00;Cadeira Windsor Rosa  Base Em Madeira;VITRINE
FATURAMENTO VD ES;101.48;109.12;21.14.50.1057.00;Conjunto Com 2 Cadeiras Windsor Rosa  Base Em Madeira;VITRINE
FATURAMENTO VD RJ;101.48;119.55;21.14.50.1057.00;Conjunto Com 2 Cadeiras Windsor Rosa  Base Em Madeira;VITRINE
FATURAMENTO VD ES;11.23;12.78;21.14.50.1062.00;Kit Fixação Eames DSW;VITRINE
FATURAMENTO VD ES;146.68;172.8;21.14.50.1076.00;Conjunto Com 4 Cadeiras Eames Azul Claro  Base Em Polipropileno;VITRINE
FATURAMENTO VD ES;50.24;59.18;21.14.50.1077.00;Cadeira Eames Com Braço Azul Claro  Base Em Polipropileno;VITRINE
FATURAMENTO VD ES;100.49;118.37;21.14.50.1078.00;Conjunto Com 2 Cadeiras Eames Com Braço Azul Claro  Base Em Polipropileno;VITRINE
FATURAMENTO VD ES;67.49;79.5;21.14.50.1080.00;Cadeira Eames Terracota  Base Em Polipropileno;VITRINE
FATURAMENTO VD RJ;36.67;43.2;21.14.50.1080.00;Cadeira Eames Terracota  Base Em Polipropileno;VITRINE
FATURAMENTO VD ES;134.98;159.0;21.14.50.1081.00;Conjunto Com 2 Cadeiras Eames Terracota  Base Em Polipropileno;VITRINE
FATURAMENTO VD RJ;73.34;86.4;21.14.50.1081.00;Conjunto Com 2 Cadeiras Eames Terracota  Base Em Polipropileno;VITRINE
FATURAMENTO VD ES;269.95;318.01;21.14.50.1082.00;Conjunto Com 4 Cadeiras Eames Terracota  Base Em Polipropileno;VITRINE
FATURAMENTO VD ES;101.67;119.77;21.14.50.1083.00;Cadeira Eames Com Braço Terracota  Base Em Polipropileno;VITRINE
FATURAMENTO VD ES;100.49;118.37;21.14.50.1084.00;Conjunto Com 2 Cadeiras Eames Com Braço Terracota  Base Em Polipropileno;VITRINE
FATURAMENTO VD ES;200.95;236.73;21.14.50.1085.00;Conjunto Com 4 Cadeiras Eames Com Braço Terracota  Base Em Polipropileno;VITRINE
FATURAMENTO VD ES;59.28;69.84;21.14.50.109.00;Cadeira Saarinen  Preto;VITRINE
FATURAMENTO VD ES;36.68;39.44;21.14.50.1127.00;Cadeira Eames Musgo  Base Em Polipropileno;VITRINE
FATURAMENTO VD RJ;36.67;43.2;21.14.50.1127.00;Cadeira Eames Musgo  Base Em Polipropileno;VITRINE
FATURAMENTO VD ES;73.35;86.4;21.14.50.1128.00;Conjunto Com 2 Cadeiras Eames Musgo  Base Em Polipropileno;VITRINE
FATURAMENTO VD RJ;73.35;86.4;21.14.50.1128.00;Conjunto Com 2 Cadeiras Eames Musgo  Base Em Polipropileno;VITRINE
FATURAMENTO VD ES;146.68;172.8;21.14.50.1129.00;Conjunto Com 4 Cadeiras Eames Musgo  Base Em Polipropileno;VITRINE
FATURAMENTO VD ES;100.48;118.36;21.14.50.1131.00;Conjunto Com 2 Cadeiras Eames Com Braço Musgo  Base Em Polipropileno;VITRINE
FATURAMENTO VD ES;200.95;236.73;21.14.50.1132.00;Conjunto Com 4 Cadeiras Eames Com Braço Musgo  Base Em Polipropileno;VITRINE
FATURAMENTO VD ES;36.67;43.2;21.14.50.1133.00;Cadeira Eames Azul Zimbro  Base Em Polipropileno;VITRINE
FATURAMENTO VD ES;50.24;59.18;21.14.50.1136.00;Cadeira Eames Com Braço Azul Zimbro  Base Em Polipropileno;VITRINE
FATURAMENTO VD ES;37.67;44.38;21.14.50.1139.00;Cadeira Maglia Dsw Preto  Base Madeira;VITRINE
FATURAMENTO VD ES;37.68;44.39;21.14.50.1140.00;Cadeira Maglia Dsw Branco  Base Madeira;VITRINE
FATURAMENTO VD ES;37.68;44.39;21.14.50.1141.00;Cadeira Maglia Dsw Fendi  Base Madeira;VITRINE
FATURAMENTO VD ES;51.75;60.96;21.14.50.1147.00;Cadeira Kaila Eiffel Branco  Base Aço Cromado;VITRINE
FATURAMENTO VD ES;49.74;58.59;21.14.50.1153.00;Cadeira Kaila Eiffel Konkret  Base Cobre;VITRINE
FATURAMENTO VD RJ;69.12;78.55;21.14.50.1153.00;Cadeira Kaila Eiffel Konkret  Base Cobre;VITRINE
FATURAMENTO VD ES;79.88;94.1;21.14.50.1155.00;Cadeira Kaila Office Branco  Base Aço Cromado;VITRINE
FATURAMENTO VD RJ;47.11;53.53;21.14.50.1157.00;Cadeira Kaila Dsw Preto  Base Madeira;VITRINE
