CodigoProduto;SaldoDisponivel;ID Tiny_x;Preço padrão_x;Código (SKU)_x;Preço padrão_y;Código (SKU)_y;Preço padrão;ID Tiny_y
2.02.01.004.98;0;913855037;0.0;;;;0.0;913855037
2.02.01.005.99;0;913855044;0.0;;;;0.0;913855044
2.02.01.006.01;0;913854911;0.0;;;;0.0;913854911
2.02.01.007.10;0;913855034;0.0;;;;0.0;913855034
2.02.01.008.01;0;913855064;0.0;;;;0.0;913855064
2.02.01.009.07;0;913855066;0.0;;;;0.0;913855066
2.02.01.010.01;0;913855073;0.0;;;;0.0;913855073
2.05.01.09.05;0;913855049;0.0;;;;0.0;913855049
2.05.01.10.01;0;913855052;0.0;;;;0.0;913855052
2.05.01.11.15;0;913855054;0.0;;;;0.0;913855054
21.14.50.118.00;158;914224913;160.0;21.14.50.118.00;160.0;21.14.50.118.00;160.0;914224913
21.14.50.119.00;112;914225233;4000.0;21.14.50.119.00;4000.0;21.14.50.119.00;4000.0;914225233
21.14.50.122.00;88;914225902;160.0;21.14.50.122.00;160.0;21.14.50.122.00;160.0;914225902
21.14.50.123.00;128;914219383;4000.0;21.14.50.123.00;4000.0;21.14.50.123.00;4000.0;914219383
21.14.50.124.00;143;926451715;0.0;;;;0.0;926451715
21.14.50.125.00;121;914219417;4000.0;21.14.50.125.00;4000.0;21.14.50.125.00;4000.0;914219417
21.14.50.1353.06;0;914219475;0.0;;;;0.0;914219475
21.14.50.1355.07;0;914219503;107.9;21.14.50.1355.07;107.9;21.14.50.1355.07;107.9;914219503
21.14.50.1356.18;0;914219524;107.9;21.14.50.1356.18;107.9;21.14.50.1356.18;107.9;914219524
22.25.168.01.06;0;914224181;69.9;22.25.168.01.06;69.9;22.25.168.01.06;69.9;914224181
24.25.49.01.10;237;915288169;139.0;24.25.49.01.10;139.0;24.25.49.01.10;139.0;915288169
24.25.49.02.10;27;809693750;369.9;24.25.49.02.10;369.9;24.25.49.02.10;369.9;809693750
24.25.49.03.06;0;915288159;139.0;24.25.49.03.06;139.0;24.25.49.03.06;139.0;915288159
24.25.49.04.06;0;915288150;369.9;24.25.49.04.06;369.9;24.25.49.04.06;369.9;915288150
24.25.49.05.00;422;915288123;69.9;24.25.49.05.00;69.9;24.25.49.05.00;69.9;915288123
24.25.49.06.00;164;915288101;169.9;24.25.49.06.00;169.9;24.25.49.06.00;169.9;915288101
24.25.49.07.06;1035;915288111;69.9;24.25.49.07.06;69.9;24.25.49.07.06;69.9;915288111
24.25.49.08.06;450;915288091;169.9;24.25.49.08.06;169.9;24.25.49.08.06;169.9;915288091
24.25.49.09.00;415;915288079;79.9;24.25.49.09.00;79.9;24.25.49.09.00;79.9;915288079
24.25.49.10.00;0;915288069;169.9;24.25.49.10.00;169.9;24.25.49.10.00;169.9;915288069
24.25.49.11.10;0;915287994;249.0;24.25.49.11.10;249.0;24.25.49.11.10;249.0;915287994
24.25.49.12.06;0;915288016;508.9;24.25.49.12.06;508.9;24.25.49.12.06;508.9;915288016
24.25.49.13.10;27;915288026;508.9;24.25.49.13.10;508.9;24.25.49.13.10;508.9;915288026
24.25.49.14.06;450;915287965;229.9;24.25.49.14.06;229.9;24.25.49.14.06;229.9;915287965
24.25.49.15.10;164;915287984;229.9;24.25.49.15.10;229.9;24.25.49.15.10;229.9;915287984
24.25.49.16.01;230;915288190;139.0;24.25.49.16.01;139.0;24.25.49.16.01;139.0;915288190
24.25.49.17.01;0;915288179;369.9;24.25.49.17.01;369.9;24.25.49.17.01;369.9;915288179
24.25.49.18.11;0;915288141;69.9;24.25.49.18.11;69.9;24.25.49.18.11;69.9;915288141
24.25.49.19.11;0;915288132;169.9;24.25.49.19.11;169.9;24.25.49.19.11;169.9;915288132
24.25.49.20.11;0;915288004;229.9;24.25.49.20.11;229.9;24.25.49.20.11;229.9;915288004
24.25.49.21.01;0;915288036;508.9;24.25.49.21.01;508.9;24.25.49.21.01;508.9;915288036
3.03.64.01.00;7166;910540527;0.0;;;;0.0;910540527
3.03.64.02.00;2441;910540523;0.0;;;;0.0;910540523
3.03.64.03.00;2956;910540531;0.0;;;;0.0;910540531
3.03.64.04.00;6628;910540535;0.0;;;;0.0;910540535
3.03.64.05.00;1116;910540539;0.0;;;;0.0;910540539
3.04.64.01.00;3341;910540543;0.0;;;;0.0;910540543
3.05.64.01.00;3124;910540547;0.0;;;;0.0;910540547
6.28.25.170.69;0;915287326;999.0;6.28.25.170.69;999.0;6.28.25.170.69;999.0;915287326
6.28.25.173.69;0;914218984;350.0;6.28.25.173.69;350.0;6.28.25.173.69;350.0;914218984
6.28.60.05.115;0;914225731;859.0;6.28.60.05.115;859.0;6.28.60.05.115;859.0;914225731
6.28.60.07.110;0;914225747;289.9;6.28.60.07.110;289.9;6.28.60.07.110;289.9;914225747
6.28.60.08.70;0;914225755;289.9;6.28.60.08.70;289.9;6.28.60.08.70;289.9;914225755
6.28.60.09.114;0;914225778;289.9;6.28.60.09.114;289.9;6.28.60.09.114;289.9;914225778
6.28.60.10.114;0;914218969;0.0;;;;0.0;914218969
6.28.60.13.08;1;914215549;319.9;6.28.60.13.08;319.9;6.28.60.13.08;319.9;914215549
6.28.60.14.72;0;914225798;269.9;6.28.60.14.72;269.9;6.28.60.14.72;269.9;914225798
6.28.60.15.11;0;914215577;839.0;6.28.60.15.11;839.0;6.28.60.15.11;839.0;914215577
6.28.60.17.18;0;914225817;899.0;6.28.60.17.18;899.0;6.28.60.17.18;899.0;914225817
6.28.60.18.70;0;914215605;0.0;;;;0.0;914215605
6.28.60.20.07;0;914217132;799.0;6.28.60.20.07;799.0;6.28.60.20.07;799.0;914217132
6.28.60.23.69;1;914219002;959.0;6.28.60.23.69;959.0;6.28.60.23.69;959.0;914219002
6.28.60.24.113;0;918647680;0.0;;;;0.0;918647680
6.28.60.25.08;0;918647694;0.0;;;;0.0;918647694
6.28.60.26.08;0;918647717;0.0;;;;0.0;918647717
6.30.162.01.06;0;915288269;1599.0;6.30.162.01.06;1599.0;6.30.162.01.06;1599.0;915288269
6.30.162.02.08;0;915288560;1799.0;6.30.162.02.08;1799.0;6.30.162.02.08;1799.0;915288560
6.30.162.03.11;0;915288551;1799.0;6.30.162.03.11;1799.0;6.30.162.03.11;1799.0;915288551
6.30.162.04.18;0;915288277;899.0;6.30.162.04.18;899.0;6.30.162.04.18;899.0;915288277
6.30.162.05.11;0;915288288;949.9;6.30.162.05.11;949.9;6.30.162.05.11;949.9;915288288
6.30.162.06.06;36;915287729;1599.0;6.30.162.06.06;1599.0;6.30.162.06.06;1599.0;915287729
6.30.162.07.08;2;915287877;1499.0;6.30.162.07.08;1499.0;6.30.162.07.08;1499.0;915287877
6.30.162.08.08;0;915288263;1399.0;6.30.162.08.08;1399.0;6.30.162.08.08;1399.0;915288263
6.30.162.10.08;3;915287867;3399.0;6.30.162.10.08;3399.0;6.30.162.10.08;3399.0;915287867
6.30.166.01.10;0;915288531;2599.0;6.30.166.01.10;2599.0;6.30.166.01.10;2599.0;915288531
6.30.166.02.06;0;915288326;1099.0;6.30.166.02.06;1099.0;6.30.166.02.06;1099.0;915288326
6.30.166.03.06;0;915288333;1099.0;6.30.166.03.06;1099.0;6.30.166.03.06;1099.0;915288333
6.30.166.04.06;0;915288338;1699.0;6.30.166.04.06;1699.0;6.30.166.04.06;1699.0;915288338
6.30.36.01.00;9;914967635;0.0;;;;0.0;914967635
6.67.60.01.113;0;918647645;0.0;;;;0.0;918647645
6.67.60.02.07;0;918647659;0.0;;;;0.0;918647659
8.01.01.02.24;0;914217182;0.0;;;;0.0;914217182
8.01.01.11.27;0;809551157;908.9;8.01.01.11.27;908.9;8.01.01.11.27;908.9;809551157
8.01.01.12.24;2;809551122;908.9;8.01.01.12.24;908.9;8.01.01.12.24;908.9;809551122
8.01.01.13.10;27;809551226;359.9;8.01.01.13.10;359.9;8.01.01.13.10;359.9;809551226
8.01.01.14.11;30;809551195;430.9;8.01.01.14.11;430.9;8.01.01.14.11;430.9;809551195
8.01.01.15.18;8;809551262;430.9;8.01.01.15.18;430.9;8.01.01.15.18;430.9;809551262
8.01.01.16.18;1;809551098;908.9;8.01.01.16.18;908.9;8.01.01.16.18;908.9;809551098
8.01.01.17.10;0;809550470;329.0;8.01.01.17.10;329.0;8.01.01.17.10;329.0;809550470
